Indicator
#1-3-1
#1-4-1
#1-5-1
#1-5-2
#1-5-3
#1-5-4
#1-a-1
#1-a-2
#10-4-1
#10-7-2
#10-a-1
#10-b-1
#10-c-1
#11-1-1
#11-5-1
#11-5-2
#11-5-3
#11-6-2
#11-a-1
#11-b-1
#11-b-2
#12-2-1
#12-2-2
#12-3-1
#12-4-1
#12-a-1
#12-c-1
#13-1-1
#13-1-2
#13-1-3
#13-2-2
#14-1-1
#14-5-1
#15-1-1
#15-1-2
#15-2-1
#15-4-1
#15-4-2
#15-5-1
#15-6-1
#15-8-1
#15-9-1
#15-a-1
#15-b-1
#16-1-1
#16-2-3
#16-3-2
#16-5-1
#16-5-2
#16-6-1
#16-7-1
#16-9-1
#16-a-1
#2-1-1
#2-2-1
#2-2-2
#2-2-3
#2-4-1
#2-5-1
#2-a-1
#2-a-2
#2-c-1
#3-1-1
#3-1-2
#3-2-1
#3-2-2
#3-3-1
#3-3-2
#3-3-3
#3-3-4
#3-3-5
#3-4-1
#3-4-2
#3-5-1
#3-5-2
#3-6-1
#3-7-1
#3-7-2
#3-8-1
#3-9-1
#3-9-2
#3-9-3
#3-a-1
#3-b-1
#3-b-2
#3-c-1
#3-d-1
#4-1-2
#4-2-2
#4-3-1
#4-5-1
#4-b-1
#5-1-1
#5-2-1
#5-3-1
#5-5-1
#5-5-2
#5-6-1
#5-a-1
#5-c-1
#6-2-1
#6-3-1
#6-4-2
#6-5-1
#6-6-1
#6-a-1
#6-b-1
#7-1-1
#7-1-2
#7-2-1
#7-3-1
#7-a-1
#7-b-1
#8-1-1
#8-2-1
#8-4-1
#8-4-2
#8-5-2
#8-6-1
#8-8-2
#8-a-1
#9-1-2
#9-2-1
#9-2-2
#9-3-2
#9-5-1
#9-5-2
#9-a-1
#9-b-1
#9-c-1
