Indicator
#1-1-1
#1-2-1
#1-2-2
#1-4-2
#1-b-1
#10-1-1
#10-2-1
#10-3-1
#10-4-2
#10-5-1
#10-6-1
#10-7-1
#10-7-3
#10-7-4
#11-2-1
#11-3-1
#11-3-2
#11-4-1
#11-6-1
#11-7-1
#11-7-2
#12-1-1
#12-4-2
#12-5-1
#12-6-1
#12-7-1
#12-8-1
#12-b-1
#13-2-1
#13-3-1
#13-a-1
#13-b-1
#14-2-1
#14-3-1
#14-4-1
#14-6-1
#14-7-1
#14-a-1
#14-b-1
#14-c-1
#15-3-1
#15-7-1
#15-c-1
#16-1-2
#16-1-3
#16-1-4
#16-10-1
#16-10-2
#16-2-1
#16-2-2
#16-3-1
#16-3-3
#16-4-1
#16-4-2
#16-6-2
#16-7-2
#16-8-1
#16-b-1
#17-14-1
#17-18-2
#17-19-2
#17-2-1
#17-7-1
#2-1-2
#2-2-4
#2-3-1
#2-3-2
#2-5-2
#2-b-1
#3-8-2
#3-b-3
#3-d-2
#4-1-1
#4-2-1
#4-4-1
#4-6-1
#4-7-1
#4-a-1
#4-c-1
#5-2-2
#5-3-2
#5-4-1
#5-6-2
#5-a-2
#5-b-1
#6-1-1
#6-3-2
#6-4-1
#6-5-2
#8-10-1
#8-10-2
#8-3-1
#8-5-1
#8-7-1
#8-8-1
#8-9-1
#8-9-2
#8-b-1
#9-1-1
#9-3-1
#9-4-1
